Data e hora,temperatura interna,temperatura externa,temperatura definida pelo usuário
2020-10-10 21:03:26,38.55,28.40,0.00
2020-10-10 21:03:28,38.06,28.55,0.00
2020-10-10 21:03:30,38.55,28.57,0.00
2020-10-10 21:03:32,38.55,28.58,0.00
2020-10-10 21:03:34,39.04,28.61,23.00
2020-10-10 21:03:36,38.55,28.63,23.00
2020-10-10 21:03:38,38.55,28.67,23.00
2020-10-10 21:03:40,38.55,28.68,23.00
2020-10-10 21:03:42,42.00,28.67,23.00
2020-10-10 21:03:44,42.00,28.67,23.00
2020-10-10 21:03:46,42.00,28.59,23.00
2020-10-10 21:03:48,37.58,28.74,23.00
2020-10-10 21:03:50,42.00,28.68,23.00
2020-10-10 21:03:52,31.00,28.66,23.00
2020-10-10 21:03:54,31.00,28.56,23.00
2020-10-10 21:03:56,31.00,28.59,23.00
2020-10-10 21:03:58,31.00,28.63,23.00
2020-10-10 21:04:00,31.00,28.59,23.00
2020-10-10 21:04:02,31.00,28.56,23.00
2020-10-10 21:04:04,35.14,28.70,0.00
2020-10-10 21:04:06,35.62,28.63,0.00
2020-10-10 21:04:08,35.14,28.74,0.00
